City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
628,Sohag,EG,84.65,clear sky,26.557,31.6948,Civil Registry - Sohag 1
634,Mawlaik,MM,76.66,overcast clouds,23.6333,94.4167,AKZ Guest House
649,Tagusao,PH,81.57,overcast clouds,9.1924,117.8141,Green Villa beach resort
651,Barao De Melgaco,BR,84.51,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
660,Barber,CW,80.37,overcast clouds,12.2833,-69.0667,Cats & Pets
662,Alugan,PH,79.79,overcast clouds,12.2188,125.4808,JM Lodge
667,Kankon,IN,83.14,light rain,15.0167,74.0167,Palolem Beach Resort
670,Samana,DO,82.62,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
671,Baghdad,IQ,75.11,clear sky,33.3406,44.4009,Baghdad Hotel
672,Lejanias,CO,76.3,overcast clouds,3.5251,-74.0216,Hotel Campestre La Contea
676,Andros Town,BS,78.76,light rain,24.7,-77.7667,Hanks place
677,Taguatinga,BR,80.89,clear sky,-12.3857,-46.5711,
684,Tabon,PH,80.89,overcast clouds,9.2388,117.9946,Port Lodge
685,Marsh Harbour,BS,76.12,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
686,Moerai,PF,79.92,scattered clouds,-22.4333,-151.3333,Le Manotel
688,Fresnillo,MX,82.62,clear sky,23.1667,-102.8833,HOTEL DEL FRESNO
