City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
246,Salina,US,2022-05-12 17:30:34,38.8403,-97.6114,93.02,48,0,19.57
247,Sisimiut,GL,2022-05-12 17:31:47,66.9395,-53.6735,25.65,69,75,13.73
248,Harper,LR,2022-05-12 17:31:48,4.375,-7.7169,79.03,88,100,7.96
249,Torbat-E Jam,IR,2022-05-12 17:31:49,35.244,60.6225,70.05,33,0,23.2
250,Weligama,LK,2022-05-12 17:31:49,5.9667,80.4167,79.05,90,86,11.5
251,Ulladulla,AU,2022-05-12 17:31:49,-35.35,150.4667,60.76,95,100,5.41
252,Spirovo,RU,2022-05-12 17:31:50,57.419,34.9766,51.94,95,100,13.51
253,Muyezerskiy,RU,2022-05-12 17:31:50,63.9333,31.65,45.39,93,99,4.5
254,Tynda,RU,2022-05-12 17:31:51,55.1667,124.7167,31.89,99,100,3.22
255,Srivardhan,IN,2022-05-12 17:31:52,18.0333,73.0167,83.12,81,100,8.7
256,Bouca,CF,2022-05-12 17:31:52,6.5105,18.2733,81.99,56,47,5.03
257,Pangody,RU,2022-05-12 17:31:53,65.85,74.4859,39.47,90,100,10.63
258,Pori,FI,2022-05-12 17:31:53,61.4833,21.7833,44.67,93,100,6.91
259,Kasempa,ZM,2022-05-12 17:31:54,-13.4584,25.8338,68.85,48,32,3.15
260,Makakilo City,US,2022-05-12 17:31:24,21.3469,-158.0858,75.0,66,0,10.36
261,Ancud,CL,2022-05-12 17:31:54,-41.8697,-73.8203,51.04,78,88,16.98
262,Homer,US,2022-05-12 17:31:55,59.6425,-151.5483,45.03,74,0,3.44
263,Manggar,ID,2022-05-12 17:31:56,-2.8833,108.2667,80.83,83,91,3.67
264,Coihaique,CL,2022-05-12 17:31:56,-45.5752,-72.0662,45.21,93,100,4.61
265,Nemuro,JP,2022-05-12 17:31:52,43.3236,145.575,44.92,100,100,11.74
266,Kailua,US,2022-05-12 17:31:57,21.4022,-157.7394,76.48,75,40,11.5
267,Victoria,HK,2022-05-12 17:29:26,22.2855,114.1577,79.95,94,100,8.01
268,Meulaboh,ID,2022-05-12 17:32:04,4.1363,96.1285,79.32,80,66,2.89
269,Hami,CN,2022-05-12 17:32:58,42.8,93.45,61.5,16,100,28.1
270,Hobyo,SO,2022-05-12 17:32:58,5.3505,48.5268,82.67,79,56,27.96
271,Comodoro Rivadavia,AR,2022-05-12 17:32:59,-45.8667,-67.5,53.46,71,0,3.44
272,Neyveli,IN,2022-05-12 17:32:59,11.536,79.4824,83.93,61,99,4.16
273,Tobetsu,JP,2022-05-12 17:33:00,43.2169,141.5169,55.09,82,93,1.83
274,Vrtojba,SI,2022-05-12 17:33:01,45.9125,13.6342,76.28,68,54,5.75
275,Carauari,BR,2022-05-12 17:33:01,-4.8828,-66.8958,88.3,58,97,4.36
276,Deputatskiy,RU,2022-05-12 17:33:02,69.3,139.9,29.97,98,100,4.56
277,Mucuri,BR,2022-05-12 17:33:02,-18.0864,-39.5508,83.73,61,73,11.32
278,Wanaka,NZ,2022-05-12 17:30:52,-44.7,169.15,41.11,91,99,3.0
279,Dubbo,AU,2022-05-12 17:32:00,-32.25,148.6167,60.93,94,75,6.91
280,Grand-Santi,GF,2022-05-12 17:33:03,4.25,-54.3833,81.81,81,89,4.27
281,Shache,CN,2022-05-12 17:33:04,38.4167,77.2406,66.7,48,61,13.04
282,Nouadhibou,MR,2022-05-12 17:33:04,20.931,-17.0347,78.78,61,18,17.27
283,Rio Cuarto,AR,2022-05-12 17:33:05,-33.1307,-64.3499,70.34,47,85,22.62
284,Cabedelo,BR,2022-05-12 17:33:05,-6.9811,-34.8339,86.67,74,74,12.73
