City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
139,Pedra,BR,-8.4969,-36.9408,71.76,89,100,5.97,overcast clouds
140,Rundu,NA,-17.9333,19.7667,61.65,26,0,4.94,clear sky
141,Chifeng,CN,42.2683,118.9636,40.37,27,0,6.17,clear sky
142,Ribeira Grande,PT,38.5167,-28.7,61.2,67,75,12.66,broken clouds
143,Constitucion,CL,-35.3333,-72.4167,54.64,93,100,3.31,overcast clouds
144,Katherine,AU,-14.4667,132.2667,75.52,64,98,9.22,overcast clouds
145,La Llanada,CO,1.49,-77.5835,61.57,79,85,3.29,light rain
146,Malangwa,NP,26.8568,85.5581,85.55,57,37,7.99,scattered clouds
147,Paracelis,PH,17.2667,121.4667,73.42,91,11,3.15,few clouds
148,Catuday,PH,16.2923,119.8062,80.01,78,42,7.74,scattered clouds
149,Meulaboh,ID,4.1363,96.1285,77.76,85,99,3.91,overcast clouds
150,Cochrane,CA,51.1834,-114.4687,60.39,22,20,11.5,few clouds
151,Pimentel,PE,-6.8367,-79.9342,73.69,60,0,23.02,clear sky
152,Saltabarranca,MX,18.6,-95.5333,86.97,54,1,13.09,clear sky
153,Kabompo,ZM,-13.5927,24.2008,61.99,61,0,4.97,clear sky
154,Tucuman,AR,-26.8241,-65.2226,71.6,64,75,11.5,broken clouds
155,Miramar,US,25.9873,-80.2323,82.02,67,100,11.5,overcast clouds
156,Cherusti,RU,55.5498,40.0107,54.18,90,100,18.21,light rain
157,Plettenberg Bay,ZA,-34.0527,23.3716,56.91,80,0,7.67,clear sky
158,Kurchum,KZ,48.5722,83.6542,56.26,44,5,5.03,clear sky
159,Sinop,TR,41.7711,34.8709,48.31,51,7,7.92,clear sky
160,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,47,0,14.97,clear sky
161,Severo-Kurilsk,RU,50.6789,156.125,40.57,90,71,3.0,broken clouds
162,Ambulu,ID,-8.345,113.6058,77.04,90,42,2.21,scattered clouds
163,Byron Bay,AU,-28.65,153.6167,69.71,88,100,17.67,overcast clouds
164,Talisay,PH,10.2447,123.8494,80.62,89,20,4.61,few clouds
165,Warragul,AU,-38.1667,145.9333,58.44,86,93,0.98,overcast clouds
166,West Wendover,US,40.7391,-114.0733,57.92,19,11,8.43,few clouds
167,Pinawa,CA,50.1489,-95.8811,57.6,79,100,10.27,overcast clouds
168,Chokurdakh,RU,70.6333,147.9167,26.28,93,100,8.1,overcast clouds
169,Aykino,RU,62.2248,49.9922,41.63,94,100,4.36,overcast clouds
170,Kurilsk,RU,45.2333,147.8833,45.99,91,100,4.7,overcast clouds
171,Tiksi,RU,71.6872,128.8694,14.31,88,10,9.26,clear sky
172,Ilulissat,GL,69.2167,-51.1,22.89,78,20,2.01,few clouds
173,Ust-Maya,RU,60.4167,134.5333,37.45,75,100,2.57,overcast clouds
174,Karratha,AU,-20.7377,116.8463,79.7,78,98,14.92,overcast clouds
175,Zhangye,CN,38.9342,100.4517,47.08,35,99,1.3,overcast clouds
176,Tezu,IN,27.9167,96.1667,70.84,93,49,3.31,light rain
177,Grindavik,IS,63.8424,-22.4338,42.75,65,20,16.11,few clouds
178,Hilo,US,19.7297,-155.09,85.28,80,87,10.0,overcast clouds
179,Buala,SB,-8.145,159.5921,81.28,77,87,1.54,overcast clouds
180,Yaan,NG,7.3833,8.5667,81.1,68,52,5.95,broken clouds
181,Provideniya,RU,64.3833,-173.3,39.36,81,75,4.47,broken clouds
182,Castro,BR,-24.7911,-50.0119,57.6,87,2,2.91,clear sky
183,Longyearbyen,SJ,78.2186,15.6401,19.24,58,0,8.05,clear sky
184,Whitehorse,CA,60.7161,-135.0538,47.01,55,100,1.99,overcast clouds
185,Guerrero Negro,MX,27.9769,-114.0611,81.34,27,16,15.03,few clouds
186,Dingle,PH,10.9995,122.6711,77.58,86,97,4.45,overcast clouds
187,Am Timan,TD,11.0297,20.2827,93.15,33,89,7.07,overcast clouds
188,Hofn,IS,64.2539,-15.2082,40.55,58,92,15.17,overcast clouds
189,Yerbogachen,RU,61.2767,108.0108,41.76,92,45,4.41,scattered clouds
190,Huanren,CN,41.2647,125.3667,44.22,69,100,1.28,overcast clouds
191,Ponta Do Sol,PT,32.6667,-17.1,69.01,82,59,2.3,broken clouds
192,Saint George,US,37.1041,-113.5841,71.8,20,0,5.99,clear sky
193,Ilembo,TZ,-9.25,33.3833,50.04,97,100,2.95,overcast clouds
194,Magole,TZ,-6.3667,37.3667,69.71,81,81,1.66,broken clouds
195,Lazurne,UA,46.084,32.5295,56.79,91,2,15.86,clear sky
196,Uwajima,JP,33.2238,132.56,67.08,96,100,1.32,light rain
197,Stokmarknes,NO,68.5646,14.9108,42.76,93,100,11.5,light rain
198,Shiyan,CN,32.6475,110.7781,59.09,93,100,2.95,overcast clouds
199,Nouadhibou,MR,20.931,-17.0347,66.65,82,11,25.64,few clouds
200,Ravar,IR,31.2656,56.8055,75.29,10,0,1.23,clear sky
201,Ledyard,US,41.4398,-72.0142,81.05,76,0,11.5,clear sky
202,Esperance,AU,-33.8667,121.9,57.04,89,100,16.37,overcast clouds
203,Omboue,GA,-1.5746,9.2618,77.56,90,88,6.93,overcast clouds
204,Lompoc,US,34.6391,-120.4579,81.57,56,91,25.99,overcast clouds
205,Lorengau,PG,-2.0226,147.2712,81.91,74,99,6.26,overcast clouds
206,Marystown,CA,47.1666,-55.1483,54.86,100,60,8.99,broken clouds
207,Harper,LR,4.375,-7.7169,78.84,87,99,5.53,overcast clouds
208,Kathmandu,NP,27.7167,85.3167,68.22,94,20,2.3,few clouds
209,Puerto Colombia,CO,10.9878,-74.9547,83.05,77,100,10.51,overcast clouds
210,Nouakchott,MR,18.0858,-15.9785,82.33,50,26,19.8,scattered clouds
211,Gimli,CA,50.6336,-96.9907,52.0,77,99,9.46,overcast clouds
212,Saldanha,ZA,-33.0117,17.9442,50.05,75,84,7.09,broken clouds
213,Bafoulabe,ML,13.8065,-10.8321,98.2,8,42,2.73,scattered clouds
214,Alakurtti,RU,66.9672,30.3491,42.01,95,95,2.39,overcast clouds
